A̱o,Poblacion_15_64,Poblacion_65_plus,Cotizantes_estimados,Pensionistas_estimados,Cotizacion_Media,Pension_Media,Ingresos,Gastos,Balance
2025,31350000,8800000,21161250.0,8800000.0,320.0,1260.0,81259200000.0,133056000000.0,-51796800000.0
2026,31200000,9000000,21060000.0,9000000.0,326.4,1291.5,82487807999.99998,139482000000.0,-56994192000.000015
2027,31050000,9200000,20958750.0,9200000.0,332.928,1323.7875,83733056640.0,146146140000.0,-62413083360.0
2028,30900000,9400000,20857500.0,9400000.0,339.5865600000001,1356.8821874999996,84995120102.40002,153056310749.99994,-68061190647.599915
2029,30750000,9600000,20756250.0,9600000.0,346.3782912,1390.8042421874993,86274172880.63998,160220648699.99994,-73946475819.35995
2030,30600000,9800000,20655000.0,9800000.0,353.30585702400003,1425.5743482421867,87570389721.96866,167647543353.28116,-80077153631.3125
2031,30400000,10000000,20520000.0,10000000.0,360.37197416448004,1461.2137069482415,88737994918.26157,175345644833.78897,-86607649915.5274
2032,30200000,10200000,20385000.0,10200000.0,367.5794136477696,1497.7440496219474,89917276166.5174,183323871673.72638,-93406595507.20898
2033,30000000,10400000,20250000.0,10400000.0,374.93100192072507,1535.1876508624957,91108233466.73619,191591418827.63947,-100483185360.90327
2034,29800000,10600000,20115000.0,10600000.0,382.4296219591395,1573.5673421340582,92310862148.4971,200157765919.4522,-107846903770.95511
2035,29600000,10800000,19980000.0,10800000.0,390.07821439832236,1612.9065256874094,93525152684.14177,209032685729.08826,-115507533044.94649
2036,29400000,11000000,19845000.0,11000000.0,397.8797786862888,1653.2291888295945,94751090496.35281,218226252925.50647,-123475162429.15366
2037,29200000,11200000,19710000.0,11200000.0,405.83737426001454,1694.5599185503343,95988655759.97864,227748853053.16492,-131760197293.18628
2038,29000000,11400000,19575000.0,11400000.0,413.9541217452149,1736.9239165140923,97237823197.95097,237611191779.1278,-140373368581.17682
2039,28800000,11600000,19440000.0,11600000.0,422.2332041801192,1780.3470144269447,98498561871.1382,247824304408.2307,-149325742537.09253
2040,28600000,11800000,19305000.0,11800000.0,430.67786826372156,1824.855689787618,99770834961.97372,258399565673.9267,-158628730711.95297
2041,28400000,12000000,19170000.0,12000000.0,439.29142562899597,1870.4770820323083,101054599551.69423,269348699812.6524,-168294100260.9582
2042,28200000,12200000,19035000.0,12200000.0,448.07725414157596,1917.239009083116,102349806391.01877,280683790929.7682,-178333984538.74942
2043,28000000,12400000,18900000.0,12400000.0,457.0387992244075,1965.1699843101937,103656399664.09564,292417293665.3568,-188760894001.26117
2044,27800000,12600000,18765000.0,12600000.0,466.1795752088956,2014.2992339179482,104974316745.53911,304562044168.39374,-199587727422.8546
2045,27600000,12800000,18630000.0,12800000.0,475.5031667130736,2064.6567147658966,106303487950.37473,317131271388.0417,-210827783437.66696
2046,27400000,13000000,18495000.0,13000000.0,485.013230047335,2116.273132635044,107643836276.70554,330138608691.0669,-222494772414.36136
2047,27200000,13200000,18360000.0,13200000.0,494.7134946482817,2169.17996095092,108995277140.90942,343598105814.62573,-234602828673.7163
2048,27000000,13400000,18225000.0,13400000.0,504.60776454124743,2223.4094599746927,110357718105.1708,357524241163.93054,-247166523058.75974
2049,26800000,13600000,18090000.0,13600000.0,514.6999198320724,2278.9946964740598,111731058597.14627,371931934464.5666,-260200875867.42032
2050,26600000,13800000,17955000.0,13800000.0,524.9939182287138,2335.969563885911,113115189621.55869,386836559779.50684,-273721370157.94815
